"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Budgie-Remix","#404455","Ubuntu","2016.04.24",,,"https://distroware.gitlab.io/os/Linux/u/ubuntu-budgie","Ubuntu Budgie","2017.04.13","https://distroware.gitlab.io/os/Linux/u/ubuntu-budgie",,,,,,
"N","Pop OS","#48B9C7","Ubuntu","2017.06.29",,,"https://distroware.gitlab.io/os/Linux/p/pop-os",,,,,,,,,
"N","Arco-Debian","#555555","Debian","2004.12.1","2013.06.14",,"https://distroware.gitlab.io/os/Linux/a/arco-debian","Arc-Live","2008.11.25","https://distroware.gitlab.io/os/Linux/a/arco-debian",,,,,,
"N","MoLinux","#ad1d5a","Debian","2004.12.15","2011.12.24",,"https://distroware.gitlab.io/os/Linux/m/molinux",,,,,,,,,
"N","BlankOn","#0c7a00","Debian","2005.2.1",,,"https://distroware.gitlab.io/os/Linux/b/blankon",,,,,,,,,
"N","Voyage Linux","#005a8c","Debian","2005.2.14","2020.05.12",,"https://distroware.gitlab.io/os/Linux/v/voyage-linux",,,,,,,,,
"N","Trisquel","#5fc8ff","Debian","2005.4",,,"https://distroware.gitlab.io/os/Linux/t/trisequel",,,,,,,,,
"N","LliureX","#369","Debian","2005.6.5",,,"https://distroware.gitlab.io/os/Linux/l/lliurex",,,,,,,,,
"N","VENENUX","#1841bd","Debian","2005.6.6","2013.07.08",,"https://distroware.gitlab.io/os/Linux/v/venenux",,,,,,,,,
"N","Elive","#ebe25f","Debian","2005.7.22",,,"https://distroware.gitlab.io/os/Linux/e/elive",,,,,,,,,
"N","Tuquito","#96dec8","Debian","2005.9","2015.06.29",,"https://distroware.gitlab.io/os/Linux/t/tuquito",,,,,,,,,
"N","Finnix ","#000","Debian","2005.10.23",,,"https://distroware.gitlab.io/os/Linux/f/finnix",,,,,,,,,
"N","OS2005","#fa8700","Debian","2005.11","2012",,"https://distroware.gitlab.io/os/Linux/m/maemo","Maemo","2009.11","https://distroware.gitlab.io/os/Linux/m/maemo","Meego Harmattan","2011.6.21","https://distroware.gitlab.io/os/Linux/m/maemo",,,
"N","2XOS","#bb1111","Debian","2005.11.10","2015.05.14",,"https://distroware.gitlab.io/os/Linux/0-9/2xos",,,,,,,,,
"N","NepaLinux","#a02727","Debian","2005.12.22","2009.05.25",,"https://distroware.gitlab.io/os/Linux/n/nepalinux",,,,,,,,,
"N","Resulinux","#ff6600","Debian","2005.1.25","2013.07.23",,"https://distroware.gitlab.io/os/Linux/r/resulinux",,,,,,,,,
"N","Epidemic","#4da20f","Debian","2006.2.16","2016.03.05",,"https://distroware.gitlab.io/os/Linux/e/epidemic",,,,,,,,,
"N","Vyatta","#ff9933","Debian","2006.3.00","2017.10.5",,"https://distroware.gitlab.io/os/Linux/v/vyatta","Brocade Vyatta vRouter","2013.04.00","https://distroware.gitlab.io/os/Linux/v/vyatta",,,,,,
"N","VyOS","#E57D7D","Vyatta","2013.12.22",,,"https://distroware.gitlab.io/os/Linux/v/vyos",,,,,,,,,
"N","PureOS","#2337ff","Debian","2006.8.5","2014.03.03",,"https://distroware.gitlab.io/os/Linux/p/pureos-linux-live-kit",,,,,,,,,
"N","sidux","#7e7e86","Debian","2006.11.24","2016.05.05",,"https://distroware.gitlab.io/os/Linux/a/aptosid","aptosid","2010.9.11","https://distroware.gitlab.io/os/Linux/a/aptosid",,,,,,
"N","siduction","#535d6c","sidux","2011.12.21",,,"https://distroware.gitlab.io/os/Linux/s/siduction",,,,,,,,,
"N","BOSS","#4848d2","Debian","2007.1.10",,,"https://distroware.gitlab.io/os/Linux/b/boss",,,,,,,,,
"N","Webconverger","#ffff00","Debian","2007.4.6",,,"https://distroware.gitlab.io/os/Linux/w/webconverger",,,,,,,,,
"N","PelicanHPC","#a0553c","Debian","2008.3.1",,,"https://distroware.gitlab.io/os/Linux/p/pelicanhpc",,,,,,,,,
"N","GALPon MiniNo","#a9290a","Debian","2008.4",,,"https://distroware.gitlab.io/os/Linux/g/galpon-minino",,,,,,,,,
"N","Proxmox","#e36f1e","Debian","2008.4.15",,,"https://distroware.gitlab.io/os/Linux/p/proxmox",,,,,,,,,
"N","Estrella Roja","#f00","Debian","2008.6.11","2012.10.20",,"https://distroware.gitlab.io/os/Linux/e/estrella-roja",,,,,,,,,
"N","Inquisitor","#cc0000","Debian","2008.7.20","2012.10.20",,"https://distroware.gitlab.io/os/Linux/i/inquisitor",,,,,,,,,
"N","Metamorphose","#5b7df7","Debian","2008.12",,,"https://distroware.gitlab.io/os/Linux/m/metamorphose",,,,,,,,,
"N","Untangle","#82c86a","Debian","2009.4.10",,,"https://distroware.gitlab.io/os/Linux/u/untangle",,,,,,,,,
"N","Canaima","#452f27","Debian","2009.6.5",,,"https://distroware.gitlab.io/os/Linux/c/canaima",,,,,,,,,
"N","Tails","#6e2daf","Debian","2009.6.23",,,"https://distroware.gitlab.io/os/Linux/t/tails",,,,,,,,,
"N","Matriux","#dd2222","Debian","2009.11.27","2016.09.26",,"https://distroware.gitlab.io/os/Linux/m/matriux",,,,,,,,,
"N","Semplice","#290c6a","Debian","2009.12.6","2018.09.18",,"https://distroware.gitlab.io/os/Linux/s/semplice",,,,,,,,,
"N","DoudouLinux","#524592","Debian","2010.6","2016.12.06",,"https://distroware.gitlab.io/os/Linux/d/doudoulinux",,,,,,,,,
"N","Linux Mint Debian Edition","#5fec52","Debian","2010.9.7",,,"https://distroware.gitlab.io/os/Linux/l/linux-mint-debian-edition",,,,,,,,,
"N","UberStudent","#d8ab24","Debian","2010.9.3","2018.12.30",,"https://distroware.gitlab.io/os/Linux/u/uberstudent",,,,,,,,,
"N","GNUGuitarINUX","#898989","Debian","2010.12.31","2014.08.31",,"https://distroware.gitlab.io/os/Linux/g/gnuguitarinux",,,,,,,,,
"N","SalineOS","#485588","Debian","2011.1.17","2013.12.22",,"https://distroware.gitlab.io/os/Linux/s/salineos",,,,,,,,,
"N","Liquid Lemur","#457430","Debian","2011.2.2","2016",,"https://distroware.gitlab.io/os/Linux/l/liquid-lemur",,,,,,,,,
"N","Red Ribbon","#000","Debian","2011.6.13","2016.04.15",,"https://distroware.gitlab.io/os/Linux/r/red-ribbon",,,,,,,,,
"N","Snowlinux","#095197","Debian","2011.7.17","2014.10.14",,"https://distroware.gitlab.io/os/Linux/s/snowlinux",,,,,,,,,
"N","OpenMediaVault","#75777a","Debian","2011.10.17",,,"https://distroware.gitlab.io/os/Linux/o/openmediavault",,,,,,,,,
"N","TurnKey","#d49773","Debian","2011.12.6",,,"https://distroware.gitlab.io/os/Linux/t/turnkey",,,,,,,,,
"N","SolusOS","#757A75","Debian","2012.05.07","2013.10.28",,"https://distroware.gitlab.io/os/Linux/s/solusos",,,,,,,,,
"N","Xamin","#448bb8","Debian","2012.5.14",,,"https://distroware.gitlab.io/os/Linux/x/xamin",,,,,,,,,
"N","YunoHost","#111111","Debian","2012.5.31",,,"https://distroware.gitlab.io/os/Linux/y/yunohost",,,,,,,,,
"N","LinuxBBQ","#ffea3c","Debian","2012.6.1","2017.06.08",,"https://distroware.gitlab.io/os/Linux/l/linuxbbq",,,,,,,,,
"N","Raspbian","#c61931","Debian","2012.6",,,"https://distroware.gitlab.io/os/Linux/r/raspberry-pi-os","Raspberry Pi OS","2020.05.28","https://distroware.gitlab.io/os/Linux/r/raspberry-pi-os",,,,,,
"N","Raspyfi","#48bd87","Raspbian","2012.12.21","2013.09.07",,"https://distroware.gitlab.io/os/Linux/v/volumio",,,,,,,,,
